timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1758040446917,244,HTTP Request,200,OK,Thread Group 1-4,text,true,,18240,116,30,30,http://www.google.com/,232,0,0
1758040446922,254,HTTP Request,200,OK,Thread Group 1-9,text,true,,18200,116,30,30,http://www.google.com/,241,0,0
1758040446916,264,HTTP Request,200,OK,Thread Group 1-17,text,true,,18214,116,30,30,http://www.google.com/,236,0,0
1758040446946,236,HTTP Request,200,OK,Thread Group 1-24,text,true,,18229,116,30,30,http://www.google.com/,223,0,0
1758040446960,248,HTTP Request,200,OK,Thread Group 1-12,text,true,,18211,116,30,30,http://www.google.com/,235,0,0
1758040447004,214,HTTP Request,200,OK,Thread Group 1-18,text,true,,18213,116,30,30,http://www.google.com/,204,0,0
1758040446961,258,HTTP Request,200,OK,Thread Group 1-25,text,true,,18172,116,30,30,http://www.google.com/,246,0,0
1758040447007,213,HTTP Request,200,OK,Thread Group 1-23,text,true,,18217,116,30,30,http://www.google.com/,205,0,0
1758040447010,233,HTTP Request,200,OK,Thread Group 1-19,text,true,,18305,116,30,30,http://www.google.com/,217,0,0
1758040447008,260,HTTP Request,200,OK,Thread Group 1-27,text,true,,18141,116,30,30,http://www.google.com/,243,0,0
1758040447003,265,HTTP Request,200,OK,Thread Group 1-11,text,true,,18250,116,30,30,http://www.google.com/,241,0,0
1758040447005,269,HTTP Request,200,OK,Thread Group 1-26,text,true,,18252,116,30,30,http://www.google.com/,243,0,0
1758040447052,222,HTTP Request,200,OK,Thread Group 1-8,text,true,,18203,116,30,30,http://www.google.com/,211,0,0
1758040447055,224,HTTP Request,200,OK,Thread Group 1-3,text,true,,18234,116,30,30,http://www.google.com/,213,0,0
1758040447019,260,HTTP Request,200,OK,Thread Group 1-10,text,true,,18195,116,30,30,http://www.google.com/,244,0,0
1758040447031,255,HTTP Request,200,OK,Thread Group 1-28,text,true,,18162,116,30,30,http://www.google.com/,241,0,0
1758040447076,223,HTTP Request,200,OK,Thread Group 1-20,text,true,,18143,116,30,30,http://www.google.com/,213,0,0
1758040447085,215,HTTP Request,200,OK,Thread Group 1-29,text,true,,18256,116,30,30,http://www.google.com/,206,0,0
1758040447072,247,HTTP Request,200,OK,Thread Group 1-7,text,true,,18339,116,30,30,http://www.google.com/,227,0,0
1758040447091,245,HTTP Request,200,OK,Thread Group 1-15,text,true,,18213,116,30,30,http://www.google.com/,231,0,0
1758040447093,254,HTTP Request,200,OK,Thread Group 1-30,text,true,,18216,116,30,30,http://www.google.com/,238,0,0
1758040447091,256,HTTP Request,200,OK,Thread Group 1-1,text,true,,18186,116,30,30,http://www.google.com/,241,0,0
1758040447086,265,HTTP Request,200,OK,Thread Group 1-2,text,true,,18216,116,30,30,http://www.google.com/,240,0,0
1758040447091,267,HTTP Request,200,OK,Thread Group 1-22,text,true,,18269,116,30,30,http://www.google.com/,242,0,0
1758040447113,248,HTTP Request,200,OK,Thread Group 1-21,text,true,,18201,116,30,30,http://www.google.com/,231,0,0
1758040447126,256,HTTP Request,200,OK,Thread Group 1-16,text,true,,18223,116,30,30,http://www.google.com/,241,0,0
1758040447119,267,HTTP Request,200,OK,Thread Group 1-13,text,true,,18226,116,30,30,http://www.google.com/,242,0,0
1758040447132,270,HTTP Request,200,OK,Thread Group 1-14,text,true,,18295,116,30,30,http://www.google.com/,246,0,0
1758040447162,247,HTTP Request,200,OK,Thread Group 1-4,text,true,,18119,116,30,30,http://www.google.com/,234,0,0
1758040447152,258,HTTP Request,200,OK,Thread Group 1-5,text,true,,18174,116,30,30,http://www.google.com/,242,0,0
1758040447177,249,HTTP Request,200,OK,Thread Group 1-9,text,true,,18282,116,30,30,http://www.google.com/,230,0,0
1758040447182,248,HTTP Request,200,OK,Thread Group 1-24,text,true,,18149,116,30,30,http://www.google.com/,237,0,0
